"nodeid","x","y","z","nodeuid"
161,3.60,3.40,7.80,"b282"
162,3.00,3.40,7.80,"c167"
163,2.40,3.40,7.80,"c534"
164,1.80,3.40,7.80,"b31c"
165,1.20,3.40,7.80,"bc60"
166,3.60,3.40,8.40,"cdba"
167,3.00,3.40,8.40,"c703"
168,2.40,3.40,8.40,"cd29"
169,1.80,3.40,8.40,"c3a3"
170,1.20,3.40,8.40,"cc1d"
171,3.60,3.40,9.00,"c6ba"
172,3.00,3.40,9.00,"b320"
173,2.40,3.40,9.00,"cc61"
174,1.80,3.40,9.00,"b1f4"
175,1.20,3.40,9.00,"b46b"
176,3.60,3.40,9.60,"c7aa"
177,3.00,3.40,9.60,"c540"
178,2.40,3.40,9.60,"ba5e"
179,1.80,3.40,9.60,"b3bd"
180,1.20,3.40,9.60,"bc23"
181,3.60,3.40,10.20,"c625"
182,3.00,3.40,10.20,"bed4"
183,2.40,3.40,10.20,"1f7a"
184,1.80,3.40,10.20,"c1c8"
185,1.20,3.40,10.20,"bf29"
186,3.60,3.40,10.80,"c304"
187,3.00,3.40,10.80,"c370"
188,2.40,3.40,10.80,"c91c"
189,1.80,3.40,10.80,"c035"
190,1.20,3.40,10.80,"c5fe"
191,0,3.28,11.32,"c913"
192,.60,3.28,11.32,"ce49"
193,1.20,3.28,11.32,"bbda"
194,1.80,3.28,11.32,"aff2"
195,2.40,3.28,11.32,"cae8"
196,3.00,3.28,11.32,"bdd1"
197,3.60,3.28,11.32,"b68e"
198,4.20,3.28,11.32,"cb6a"
199,4.80,3.28,11.32,"cc68"
200,0,2.67,11.32,"c36b"
201,.60,2.67,11.32,"c416"
202,1.20,2.67,11.32,"b863"
203,1.80,2.67,11.32,"bd65"
204,2.40,2.67,11.32,"c23c"
205,3.00,2.67,11.32,"bd5c"
206,3.60,2.67,11.32,"ce56"
207,4.20,2.67,11.32,"c447"
208,4.80,2.67,11.32,"c33a"
209,1.10,.25,11.32,"ce00"
210,1.10,.90,11.32,"c117"
211,1.10,1.55,11.32,"1f43"
212,1.10,2.20,11.32,"c2c8"
213,1.55,.25,11.32,"af75"
214,1.55,.90,11.32,"b98e"
215,1.55,1.55,11.32,"bd00"
216,1.55,2.20,11.32,"bbe4"
217,3.25,.25,11.32,"c013"
218,3.25,.90,11.32,"1f71"
219,3.25,1.55,11.32,"c2b8"
220,3.25,2.20,11.32,"c839"
221,3.70,.25,11.32,"b2ee"
222,3.70,.90,11.32,"bd79"
223,3.70,1.55,11.32,"b73b"
224,3.70,2.20,11.32,"cd89"
